CustomerID,FirstName,LastName,TotalBalance,TotalTransactions
1,Dustin,Diaz,25463.0,4.0
2,Jessica,Anderson,20529.0,1.0
3,Jeremy,Wagner,144532.0,10.0
4,Crystal,Roberts,52596.0,3.0
5,Anna,Bryant,51737.0,15.0
6,Stephanie,Anderson,0.0,0.0
7,Andrew,Watson,0.0,0.0
8,Charles,Leach,139630.0,6.0
9,Tracy,Dominguez,11084.0,3.0
10,Patricia,Wilcox,10255.0,6.0
11,Christopher,Baker,25296.0,2.0
12,Veronica,Patton,64870.0,4.0
13,Melissa,Santiago,35298.0,2.0
14,Ernest,Davis,285597.0,16.0
15,Steven,Ramos,0.0,0.0
16,Thomas,Sharp,93848.0,2.0
17,Michelle,Erickson,0.0,0.0
18,Rachael,Adams,0.0,0.0
19,Chad,Young,0.0,0.0
20,Charles,Gibbs,0.0,0.0
21,William,Erickson,99269.0,5.0
22,Jennifer,Campbell,285179.0,13.0
23,Monique,Bryan,151189.0,9.0
24,Tara,Reed,0.0,0.0
25,Daniel,Smith,0.0,0.0
26,Rachael,Mcclure,0.0,0.0
27,Caleb,Cherry,0.0,0.0
28,Katherine,Clements,162465.0,8.0
29,Brenda,Garcia,0.0,0.0
30,Steven,Russo,0.0,0.0
31,Dale,Porter,118154.0,2.0
32,Benjamin,Cowan,32142.0,8.0
33,Casey,Frederick,2145.0,1.0
34,Nicole,Miller,98573.0,7.0
35,Andrew,Hood,97244.0,2.0
36,Jennifer,Mann,55457.0,12.0
37,Michael,Henderson,0.0,0.0
38,Chad,Holland,94610.0,6.0
39,Daniel,Collins,85682.0,6.0
40,Jason,Rogers,78656.0,4.0
41,Sharon,Day,167684.0,5.0
42,Stephanie,Chambers,0.0,0.0
43,Heidi,Perry,90335.0,5.0
44,Ryan,Allen,0.0,0.0
45,Kristy,Harris,60013.0,5.0
46,Michelle,Hart,20321.0,2.0
47,Michael,Carrillo,80864.0,5.0
48,Roger,Cohen,16330.0,7.0
49,Frank,Barr,65750.0,1.0
50,Vanessa,Gutierrez,87774.0,7.0
51,John,Thomas,0.0,0.0
52,Kelly,Joseph,67488.0,11.0
53,Michael,Brown,11124.0,2.0
54,Kristen,Taylor,22917.0,2.0
55,Alexis,Coleman,0.0,0.0
56,Rodney,Martinez,68494.0,3.0
57,Kevin,Johnson,0.0,0.0
58,Jason,White,0.0,0.0
59,Christopher,Jenkins,0.0,0.0
60,Jonathan,Ware,0.0,0.0
61,Melissa,Riley,70936.0,1.0
62,Roberto,Taylor,4863.0,6.0
63,Courtney,Wise,63238.0,3.0
64,Mark,Luna,91004.0,1.0
65,Clifford,Lopez,116793.0,6.0
66,Hannah,Alvarez,13868.0,3.0
67,David,Johnson,0.0,0.0
68,Jacob,York,31867.0,1.0
69,Patricia,Brooks,93117.0,3.0
70,Julie,James,3450.0,3.0
71,Dylan,Kim,148638.0,7.0
72,Melissa,Holt,0.0,0.0
73,Ashley,Robinson,124101.0,9.0
74,David,Odom,0.0,0.0
75,Rebecca,Novak,0.0,0.0
76,James,Robles,0.0,0.0
77,Willie,Dominguez,233120.0,14.0
78,Philip,Ramos,6929.0,4.0
79,Heather,Barber,124700.0,16.0
80,Christopher,Marshall,0.0,0.0
81,Grace,Davis,50108.0,5.0
82,Jennifer,Santiago,47453.0,2.0
83,Miguel,Montgomery,0.0,0.0
84,Jeffrey,Hobbs,82253.0,7.0
85,Scott,Hunt,8013.0,5.0
86,Elizabeth,Myers,68576.0,10.0
87,Brianna,Kim,114605.0,8.0
88,Amanda,Fisher,98325.0,3.0
89,Daniel,Joseph,0.0,0.0
90,Justin,Case,0.0,0.0
91,Bonnie,Burch,101675.0,5.0
92,George,Tucker,88158.0,11.0
93,Jonathan,Jimenez,0.0,0.0
94,Mark,Martin,0.0,0.0
95,Natalie,Hall,71399.0,2.0
96,Sandra,Gray,90301.0,4.0
97,Allison,Wright,22955.0,1.0
98,Wesley,Bailey,91464.0,8.0
99,Victoria,Willis,10706.0,5.0
100,Troy,Nguyen,56971.0,3.0
101,Jennifer,Sutton,0.0,0.0
102,Laurie,Petersen,0.0,0.0
103,Isaac,Moore,89121.0,5.0
104,Scott,Gordon,156634.0,8.0
105,Manuel,Lester,0.0,0.0
106,Kathleen,Walker,155573.0,10.0
107,Jason,Parker,72825.0,5.0
108,Grant,Taylor,0.0,0.0
109,Corey,Alexander,33572.0,3.0
110,Donna,Fox,5378.0,4.0
111,Daniel,Little,0.0,0.0
112,Scott,Lopez,126644.0,7.0
113,Chad,Johnson,0.0,0.0
114,Stephanie,Robertson,0.0,0.0
115,Kelly,Lawson,83420.0,0.0
116,Erin,Matthews,52398.0,3.0
117,Amber,Spencer,140464.0,9.0
118,Deborah,Gray,80061.0,5.0
119,Joan,Savage,93272.0,6.0
120,Terri,Scott,0.0,0.0
121,Mark,Lawson,61407.0,0.0
122,Shane,Robbins,0.0,0.0
123,Stephanie,Thompson,45987.0,0.0
124,Andrew,Lowery,0.0,0.0
125,Adam,Gonzalez,29525.0,2.0
126,Erica,Watts,82884.0,2.0
127,Jessica,Welch,66577.0,3.0
128,Christopher,Russell,92741.0,7.0
129,Joshua,Atkins,0.0,0.0
130,Jonathan,Kramer,42632.0,3.0
131,Jesse,Ferguson,0.0,0.0
132,Ryan,Fisher,59234.0,4.0
133,Jeremiah,Pham,100976.0,12.0
134,John,Chandler,177694.0,11.0
135,Sara,Henderson,136804.0,10.0
136,Kristin,Hansen,83661.0,4.0
137,Joseph,Mathews,92957.0,5.0
138,Samuel,Howard,0.0,0.0
139,Dan,Rojas,52923.0,7.0
140,Elizabeth,Callahan,135442.0,6.0
141,Elizabeth,Stark,0.0,0.0
142,Sherri,Peterson,40643.0,8.0
143,Ryan,Montes,0.0,0.0
144,Katrina,Walls,0.0,0.0
145,April,Taylor,4265.0,2.0
146,Blake,Hogan,79743.0,0.0
147,Andrea,Lynch,53802.0,7.0
148,James,Avery,0.0,0.0
149,Brandy,Gomez,34244.0,7.0
150,Caitlin,Todd,95930.0,5.0
151,Joseph,Nicholson,37292.0,3.0
152,Austin,Russell,0.0,0.0
153,Joseph,Smith,0.0,0.0
154,Tiffany,Estrada,32681.0,3.0
155,Laura,Perkins,0.0,0.0
156,Lauren,Vega,46304.0,6.0
157,Martha,Bruce,0.0,0.0
158,Eric,Kane,0.0,0.0
159,Heather,Garcia,0.0,0.0
160,Jennifer,Martinez,0.0,0.0
161,Kevin,Diaz,0.0,0.0
162,Timothy,Gray,0.0,0.0
163,Larry,White,0.0,0.0
164,James,Brown,0.0,0.0
165,Tina,West,16708.0,2.0
166,Heather,Bennett,0.0,0.0
167,Christine,Woods,95358.0,5.0
168,Ashley,Chavez,7904.0,9.0
169,Nicholas,Becker,81898.0,2.0
170,Victoria,Miller,24511.0,5.0
171,Jill,Terrell,54549.0,15.0
172,Sonya,Ramirez,0.0,0.0
173,Philip,Solis,118373.0,8.0
174,Andrew,Schmidt,0.0,0.0
175,David,Higgins,0.0,0.0
176,Richard,Blackwell,64487.0,1.0
177,Christopher,Summers,129412.0,7.0
178,John,Hendrix,94258.0,4.0
179,Jennifer,Brooks,47692.0,6.0
180,Michelle,Shaw,0.0,0.0
181,Nicole,Jacobs,131563.0,4.0
182,Christopher,Shaw,0.0,0.0
183,Nicole,Baker,237121.0,11.0
184,Chloe,Garner,105470.0,10.0
185,Daniel,Clark,0.0,0.0
186,Christian,Moore,0.0,0.0
187,Ernest,Avila,0.0,0.0
188,Jason,Knox,45173.0,3.0
189,Michelle,Pearson,50058.0,4.0
190,William,Ashley,67606.0,2.0
191,Angela,Brown,89622.0,14.0
192,Edward,Allen,0.0,0.0
193,Robin,Shepherd,0.0,0.0
194,Kathryn,Mercer,97277.0,1.0
195,Janice,Johnson,32354.0,5.0
196,Richard,Baker,0.0,0.0
197,Collin,Prince,0.0,0.0
198,Danny,Anderson,46594.0,5.0
199,David,Cunningham,67448.0,4.0
200,William,Gentry,0.0,0.0
201,Steven,Sullivan,0.0,0.0
202,Joseph,Powell,0.0,0.0
203,Francisco,Huff,64722.0,3.0
204,Lauren,Flynn,0.0,0.0
